COURSE #,TITLE/START DATE,CAPACITY,# OF STUDENTS,STATUS,INSTRUCTOR,FEE,Min Cred,Max Cred,COREQ CRS,XLIST CRS,Section,Start Time,End Time,Meeting Days,Bldg,Room
CIS_394_01,Admin Internet Serv,20,3,Open,Mr J Coffman,19400,3,0,,"CIS_394_01,GCIS_584_0A",1,03:00PM,04:20PM,T TH,Z,355
CIS_395_01,Advanced Prog: IOS,3,3,Clsd,Dr S Frezza,19400,3,0,,"CIS_395_01,GCIS_521_0A",1,09:30AM,10:50AM,T TH,Z,336
CIS_396_01,Cross-Cult Sftw Eng Proj,7,0,Cncl,,19400,4,0,,,1,,,,,
CIS_400_01,Internship,5,0,Open,Dr M Tang,0,3,0,,,1,,,,BY-,ARR
CIS_415_01,Sftw Test&Qlty Assur,20,2,Open,Dr F Xu,,3,0,,"CIS_415_01,GCIS_515_0A",1,01:30PM,02:50PM,T TH,Z,229
CIS_438_01,Hum Intfc Dsgn/Maint,20,1,Open,Dr S Frezza,19400,3,0,,"CIS_438_01,GCIS_639_0A",1,12:00PM,01:20PM,T TH,Z,335
CIS_457_1E,Senior Design 1,10,11,Clsd,Dr T Vitolo,,3,0,,,1E,04:30PM,05:50PM,M W,Z,229
GCIS_500_0A,Applied Statistics,30,1,Open,Ms J Revelt,,3,0,,"GCIS_500_0A,MATH_213_02",0A,09:30AM,10:50AM,T TH,Z,130
GCIS_505_0A,Obj-Ornt Prob Slv C++,20,0,Open,Staff,10500,3,0,,"CIS_216_01,GCIS_505_0A",0A,09:05AM,10:00AM,M W F,Z,336
GCIS_509_0A,Sys Analysis & Design,20,4,Open,Dr T Vitolo,,3,0,,"CIS_335_01,GCIS_509_0A",0A,11:15AM,12:10PM,M W F,Z,355
GCIS_514_0A,Rqmts & Project Mgmt,20,7,Open,Dr S Frezza,,3,0,,,0A,03:00PM,04:20PM,M W,Z,439
GCIS_515_0A,Sftwr Testing & QA,20,0,Open,Dr F Xu,,3,0,,"CIS_415_01,GCIS_515_0A",0A,01:30PM,02:50PM,T TH,Z,TBA
GCIS_516_0A,Data Centric Cncpt&meth,20,6,Open,Staff,19400,3,0,,,0A,01:30PM,02:50PM,T TH,Z,355
GCIS_516_0B,Data Centric Cncpt&meth,20,0,Open,Staff,19400,3,0,,,0B,03:00PM,04:20PM,T TH,Z,335
GCIS_521_0A,Adv Programming: iOS,20,6,Open,Dr S Frezza,19400,3,0,,"CIS_395_01,GCIS_521_0A",0A,09:30AM,10:50AM,T TH,Z,336
GCIS_523_0A,Statistical Computing,20,13,Open,Dr Y Liu,19400,3,0,,,0A,12:00PM,01:20PM,T TH,Z,355
GCIS_523_0B,Statistical Computing,20,1,Open,Dr Y Liu,19400,3,0,,,0B,04:30PM,05:50PM,T TH,Z,336
GCIS_532_0A,Digit Imaging & Appl,20,3,Open,Dr S Sasi,,3,0,,,0A,04:30PM,05:50PM,M W,Z,335
GCIS_546_0A,Managng Info Orgnztn,25,5,Open,Mr B Scott,,3,0,,,0A,04:30PM,05:50PM,M W,Z,129
GCIS_555_0A,Dynamic Web Development,20,7,Open,Mr J Cannell,19400,3,0,,,0A,06:00PM,07:20PM,T TH,Z,336
GCIS_584_0A,Admin of Internet Serv,20,1,Open,Mr J Coffman,,3,0,,"CIS_394_01,GCIS_584_0A",0A,03:00PM,04:20PM,T TH,Z,355
GCIS_593_0A,Responsive Web Dsgn,20,4,Open,Mr J Cannell,,3,0,,"CIS_393_01,GCIS_593_0A",0A,01:30PM,02:50PM,W F,Z,336
GCIS_605_0A,Scholarship Seminar,15,7,Open,Dr Y Liu,,3,0,,,0A,06:00PM,07:20PM,M W,Z,439
GCIS_634_0A,Software Maint & Deplymt,20,13,Open,Dr F Xu,19400,3,0,,"CIS_317_01,GCIS_634_0A",0A,12:10PM,01:30PM,W F,Z,335
GCIS_639_0A,Interactive Sftwr Devlp,20,11,Open,Dr S Frezza,,3,0,,"CIS_438_01,GCIS_639_0A",0A,12:00PM,01:20PM,T TH,Z,335
GCIS_646_0A,Archtct Entrp Info Sys,20,10,Open,Dr S Sasi,19400,3,0,,,0A,04:30PM,05:50PM,T TH,Z,335
GCIS_697_0A,Directed Project,4,3,Open,Dr M Tang,,1,0,,,0A,,,,BY-,ARR
GCIS_698_0A,Directed Research,4,1,Open,Dr B Brinkman,,3,0,,,0A,01:30PM,04:30PM,F,BY-,ARR
GCIS_698_0B,Directed Research,4,3,Open,Mr J Cannell,,3,0,,,0B,03:00PM,04:30PM,F,BY-,ARR
GCIS_698_0C,Directed Research,4,4,Clsd,Dr S Frezza,,3,0,,,0C,01:30PM,04:30PM,F,BY-,ARR
GCIS_698_0D,Directed Research,4,5,Clsd,Dr Y Liu,,3,0,,,0D,01:30PM,04:30PM,F,BY-,ARR
GCIS_698_0E,Directed Research,4,1,Open,Dr S Sasi,,3,0,,,0E,01:30PM,04:30PM,F,BY-,ARR
GCIS_698_0F,Directed Research,4,0,Open,Dr M Tang,,3,0,,,0F,01:30PM,04:30PM,F,BY-,ARR
GCIS_698_0G,Directed Research,4,1,Open,Dr T Vitolo,,3,0,,,0G,01:30PM,04:30PM,F,BY-,ARR
GCIS_698_0H,Directed Research,4,3,Open,Dr F Xu,,3,0,,,0H,01:30PM,04:30PM,F,BY-,ARR
GCIS_698_0I,Directed Research,4,4,Clsd,Mr M Blair,,3,0,,,0I,01:30PM,04:30PM,F,BY-,ARR
GCIS_799_0A,Thesis,10,3,Open,Dr S Sasi,,3,6,,,0A,,,,BY-,ARR
